# 归园田居 — 翻译字符串表
# 格式: key,zh,en,context
# 用途: 本地化字符串管理

# ============ 天气系统 ============
weather.sunny,晴天,Sunny,天气名称
weather.rainy,雨天,Rainy,天气名称
weather.storm,暴风雨,Storm,天气名称
weather.snowy,雪天,Snowy,天气名称
weather.windy,大风,Windy,天气名称
weather.green_rain,绿雨,Green Rain,天气名称
weather.unknown,未知,Unknown,天气名称

# ============ 季节系统 ============
season.spring,春,Spring,季节名称
season.summer,夏,Summer,季节名称
season.autumn,秋,Autumn,季节名称
season.winter,冬,Winter,季节名称

# ============ 时间系统 ============
time.morning,早晨,Morning,时段名称
time.afternoon,下午,Afternoon,时段名称
time.dusk,傍晚,Dusk,时段名称
time.night,夜晚,Night,时段名称
time.late_night,深夜,Late Night,时段名称
time.date_format,第%d年 %s第%d天,Year %d %s Day %d,日期格式

# ============ 商店系统 ============
shop.general_store,杂货店,General Store,商店名称
shop.animal_shop,动物商店,Animal Shop,商店名称
shop.closed,商店已打烊,Shop is closed,提示消息
shop.not_enough_money,金币不足,Not enough money,错误消息
shop.inventory_full,背包已满,Inventory full,错误消息
shop.purchase_success,购买成功,Purchase successful,提示消息
shop.purchase_failed,购买失败,Purchase failed,错误消息

# ============ 动物名称 ============
animal.chicken_white,白鸡,White Chicken,动物名称
animal.chicken_brown,棕鸡,Brown Chicken,动物名称
animal.duck,鸭子,Duck,动物名称
animal.cow,牛,Cow,动物名称
animal.sheep,绵羊,Sheep,动物名称
animal.pig,猪,Pig,动物名称
animal.goat,山羊,Goat,动物名称
animal.unknown,未知动物,Unknown Animal,错误消息

# ============ 建筑名称 ============
building.coop,鸡舍,Coop,建筑名称
building.coop.desc,可容纳小动物（鸡、鸭）,Holds small animals (chickens, ducks),建筑描述
building.barn,谷仓,Barn,建筑名称
building.barn.desc,可容纳大型动物（牛、羊、猪、山羊）,Holds large animals (cows, sheep, pigs, goats),建筑描述
building.sick,生病,Sick,状态标签
building.mature,成年,Mature,状态标签
building.young,幼年,Young,状态标签
building.fed,已喂养,Fed,状态标签
building.hungry,饥饿,Hungry,状态标签
building.petted,已抚摸,Petted,状态标签
building.empty,空空如也,Empty,空状态提示
building.empty.hint,去购买小动物吧~,Go buy some animals~,空状态提示

# ============ 畜牧操作 ============
animal.treat,治疗,Treat,按钮标签
animal.feed,喂养,Feed,按钮标签
animal.pet,抚摸,Pet,按钮标签
animal.not_sick,动物没有生病,Animal is not sick,错误消息
animal.cure_need_gold,金币不足 (需要 %d),Insufficient gold (need %d),错误消息
animal.cure_payment_failed,无法进行支付,Cannot make payment,错误消息
animal.cured,治愈了 %s! 好感度+%d,Cured %s! Friendship +%d,成功消息
animal.feed_success,喂养 %s 成功! 好感度: %s,Fed %s! Friendship: %s,成功消息
animal.feed_failed,喂养失败: 饲料不足或已喂养,Feeding failed: insufficient feed or already fed,错误消息
animal.pet_success,抚摸 %s 成功! 好感度: %s,Pet %s! Friendship: %s,成功消息
animal.pet_failed,抚摸失败: 今日已抚摸,Petting failed: already petted today,错误消息
animal.bulk_feed_success,喂养了 %d 只动物!,Fed %d animals!,成功消息
animal.bulk_feed_no_animals,没有需要喂养的动物,No animals to feed,提示消息
animal.feed_insufficient,饲料不足! 需要 %d 个干草,Insufficient feed! Need %d hay,错误消息
animal.bulk_pet_success,抚摸了 %d 只动物!,Petted %d animals!,成功消息
animal.bulk_pet_no_animals,没有需要抚摸的动物（或今日已抚摸/生病中）,No animals to pet (or already petted/sick),提示消息
animal.collected,收获了 %d 件产物!,Collected %d products!,成功消息
animal.collect_nothing,没有可收获的产物,Nothing to collect,提示消息
animal.building_cleaned,已清理%s! 所有动物好感度+1,Cleaned %s! All animals friendship +1,成功消息
animal.clean_failed,清理失败,Cleaning failed,错误消息
animal.treat_success,治疗成功,Treatment successful,成功消息
animal.treat_failed,治疗失败:,Treatment failed:,错误消息
animal.sick_notification,⚠️ %s 生病了! 需要治疗才能产出,%s is sick! Needs treatment to produce,警告消息
animal.healed_notification,✅ %s 已痊愈! 恢复产出,%s has recovered! Resuming production,通知消息
animal.friendship_changed,%s 好感度: %s -> %s,%s Friendship: %s -> %s,通知消息
animal.collected_item,收获了: %s x%d,Collected: %s x%d,通知消息
animal.shop_not_open,商店功能暂未开放，请前往村落购买动物,Shop not available, please visit the village to buy animals,提示消息
animal.building_not_built,请先建造%建筑名称%！,Build %建筑名称% first!,错误消息
animal.building_full,%建筑名称%已满,%建筑名称% is full,错误消息
animal.buy_one_at_a_time,动物一次只能购买一只,Animals can only be bought one at a time,错误消息
animal.purchase_failed,购买失败,Purchase failed,错误消息

# ============ 畜牧UI标签 ============
ui.coop_tab,🐔 鸡舍 (%d/%d),🐔 Coop (%d/%d),标签
ui.barn_tab,🐄 谷仓 (%d/%d),🐄 Barn (%d/%d),标签
ui.building_label,【%s】,[%s],标签
ui.feed_cost,需要: 干草 x%d (持有: %d),Need: Hay x%d (Have: %d),提示
ui.feed_cost_insufficient,需要: 干草 x%d (持有: %d) - 饲料不足!,Need: Hay x%d (Have: %d) - Feed insufficient!,警告
ui.dirty_warning,⚠️ 脏乱: %d天 (生病概率: %d%%),⚠️ Dirty: %d days (Sickness chance: %d%%),警告
ui.building_clean,✅ 建筑干净,✅ Building clean,状态
ui.build_building,🏗️ 建造建筑,🏗️ Build Building,按钮
ui.full,满员,Full,状态标签
ui.go_to_shop,🛒 去商店,🛒 Go to Shop,按钮
ui.unknown,未知,Unknown,通用回退

